"Commissioner","MemberName","Date","Location","Entity","Subject"
"Andrus Ansip","Stig Joergen Gren
						            	|","14/10/2015","Brussels","Confederation of Norwegian Enterprise                                                         (NHO)                                                   |","DSM"
"Andrus Ansip","Kamila Kloc
						            	|","13/10/2015","Brussels","Nokia                                                   |","DSM, TSM, investment, standarization"
"Andrus Ansip","Jasmin Battista
						            	|","13/10/2015","Brussels","Google                                                   |","Investment Google Italy"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","12/10/2015","Brussels","World Association of Market, Social and Opinion Research                                                         (ESOMAR)                                                   |","Safe Harbour"
"Andrus Ansip","Stig Joergen Gren
						            	|","12/10/2015","Brussels","Yahoo! EMEA Ltd.                                                   |","copyright"
"Andrus Ansip","Jasmin Battista
						            	|","07/10/2015","Brussels","Inline Policy                                                   |","High growth sharing economy"
"Andrus Ansip","Maximilian Strotmann
						            	|","06/10/2015","Brussels","The Lisbon Council for Economic Competitiveness and Social Renewal asbl                                                         (The Lisbon Council)                                                   |","eGovernment, start-ups"
"Andrus Ansip","Stig Joergen Gren
						            	|","06/10/2015","Brussels","Mozilla Corporation                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","05/10/2015","Brussels","European Round Table of Industrialists                                                         (ERT)                                                   |","Connectivity, start-ups"
"Andrus Ansip","Stig Joergen Gren
						            	|","01/10/2015","Brussels","Filmproducenten Nederland                                                         (FPN)                                                   |","Copyright, DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","01/10/2015","Brussels","Association of European Performers’ Organisations                                                         (AEPO-ARTIS)                                                   |                                                                                 INTERNATIONAL FEDERATION OF MUSICIANS                                                         (FIM)                                                   |","Intellectual property rights, platforms"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","29/09/2015","Brussels","Swissgrid AG                                                   |","Cyber Security in the electricity grid, cyber-attaks"
"Andrus Ansip","Stig Joergen Gren
						            	|","29/09/2015","Brussels","Orange                                                   |","DSM, cross-border services, standards"
"Andrus Ansip","Aare Järvan
						            	|","28/09/2015","Brussels","Banco Santander, S.A.                                                   |","Digital Single Market Agenda and the Role of the Financial Sector in the Project"
"Andrus Ansip","Maximilian Strotmann
						            	|
									            	
						            	Stig Joergen Gren
						            	|","25/09/2015","Brussels","industriAll European Trade Union                                                         (industriAll)                                                   |","Innovation, standardisation"
"Andrus Ansip","Stig Joergen Gren
						            	|","25/09/2015","Brussels","IFPI Representing recording industry worldwide                                                         (I.F.P.I.)                                                   |","DSM Strategy, copyright"
"Andrus Ansip","Aare Järvan
						            	|","25/09/2015","Brussels","Mitsubishi Heavy Industries, Ltd.                                                   |","Digital Single Market in Europe, International cooperation in digital issues, Mitsubishi Heavy Industries company overview"
"Andrus Ansip","Stig Joergen Gren
						            	|","25/09/2015","Brussels","TechMarket Sweden AB                                                         (TechMarket)                                                   |","DSM"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|
									            	
						            	Juhan Lepassaar
						            	|
									            	
						            	Stig Joergen Gren
						            	|","24/09/2015","Brussels","SAP                                                   |","GDPR"
"Andrus Ansip","Stig Joergen Gren
						            	|","24/09/2015","Brussels","Telefonica, S.A.                                                   |","DSM"
"Andrus Ansip","Kamila Kloc
						            	|","24/09/2015","Brussels","Broadcast Networks Europe                                                         (BNE)                                                   |","Spectrum"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","23/09/2015","Brussels","Edelman Public Relations Worldwide                                                   |","EU Privacy reform, EU civil justice systems"
"Andrus Ansip","Juhan Lepassaar
						            	|
									            	
						            	Laure Chapuis-Kombos
						            	|","22/09/2015","Brussels","Deloitte, S.L.                                                   |","Cybersecurity and privacy"
"Andrus Ansip","Juhan Lepassaar
						            	|
									            	
						            	Kamila Kloc
						            	|","22/09/2015","Brussels","Orange                                                   |","DSM Strategy"
"Andrus Ansip","Kamila Kloc
						            	|","22/09/2015","Brussels","TalkTalk Group                                                   |","Broadband"
"Andrus Ansip","Jasmin Battista
						            	|","22/09/2015","Brussels","EuroCommerce                                                   |","Digital Single Market, data protection and security"
"Andrus Ansip","Stig Joergen Gren
						            	|","22/09/2015","Brussels","DIGITALEUROPE                                                         (DE)                                                   |","copyright"
"Andrus Ansip","Hanna Hinrikus
						            	|
									            	
						            	Laure Chapuis-Kombos
						            	|","21/09/2015","Brussels","European NGO Alliance for Child Safety Online                                                         (eNACSO)                                                   |","Discussion on their report on children and business online to protect children in the context of DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","21/09/2015","Brussels","ARD Verbindungsbüro Brüssel                                                   |","DSM, copyright, AVMD, platforms"
"Andrus Ansip","Hanna Hinrikus
						            	|","21/09/2015","Brussels","IBM Corporation                                                         (IBM)                                                   |","Digital Trade"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","21/09/2015","Brussels","International Association of Privacy Professionals                                                         (IAPP)                                                   |","Discussion on data privacy, big data and international dada flows"
"Andrus Ansip","Aare Järvan
						            	|","18/09/2015","Brussels - Belgium","Intesa Sanpaolo                                                   |","Virtual currency"
"Andrus Ansip","Jasmin Battista
						            	|","17/09/2015","Brussels","PayPal Se Belgian Branch                                                         (PayPal)                                                   |","role of payments in Europe's e-commerce market"
"Andrus Ansip","Kamila Kloc
						            	|","17/09/2015","Brussels","IBM Corporation                                                         (IBM)                                                   |","DSM, IoT, free flow of data, data protection, e-health, e-payments"
"Andrus Ansip","Stig Joergen Gren
						            	|","17/09/2015","Brussels","International Federation of Film Distributors' Associations                                                         (FIAD)                                                   |","Intellectual Property Rights"
"Andrus Ansip","Stig Joergen Gren
						            	|","16/09/2015","Brussels","Microsoft Corporation                                                   |","DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","15/09/2015","Brussels","Centre for Fine Arts                                                         (BOZAR)                                                   |","Innovation and creative industry, copyright"
"Andrus Ansip","Maximilian Strotmann
						            	|","13/09/2015","Brussels","Orange                                                   |","DSM, cross-border services, standards"
"Andrus Ansip","Maximilian Strotmann
						            	|","11/09/2015","Brussels","Startups.be                                                   |                                                                                 The Lisbon Council for Economic Competitiveness and Social Renewal asbl                                                         (The Lisbon Council)                                                   |","Startups"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|
									            	
						            	Jasmin Battista
						            	|","10/09/2015","Brussels","First Data Corporation                                                         (FDC)                                                   |","Role of electronic payment solutions, data and dat protection"
"Andrus Ansip","Stig Joergen Gren
						            	|
									            	
						            	Juhan Lepassaar
						            	|","10/09/2015","Brussels","European Magazine Media Association                                                         (EMMA)                                                   |","DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","10/09/2015","Brussels","LT-Innovate                                                         (LTi)                                                   |","Multilingualism"
"Andrus Ansip","Stig Joergen Gren
						            	|","10/09/2015","Brussels","European Federation of Journalists                                                         (EFJ)                                                   |","Authors' rights, cross-border access to content"
"Andrus Ansip","Stig Joergen Gren
						            	|","09/09/2015","Brussels","The European House - Ambrosetti                                                         (TEH-A)                                                   |","DSM"
"Andrus Ansip","Hanna Hinrikus
						            	|
									            	
						            	Juhan Lepassaar
						            	|","08/09/2015","Brussels","Information Technology and Innovation Foundation                                                         (ITIF)                                                   |","EU-US approaches to digital issues"
"Andrus Ansip","Hanna Hinrikus
						            	|","08/09/2015","Brussels - Belgium","CIONET International                                                         (CIONET)                                                   |","Digital Skills"
"Andrus Ansip","Aare Järvan
						            	|","04/09/2015","Brussels","TransferWise Ltd                                                   |","Future of banking, customer identification in the EU, transparency of pricing"
"Andrus Ansip","Stig Joergen Gren
						            	|","04/09/2015","Brussels","Independent Television PLC                                                         (ITV)                                                   |","DSM, copyright, transfer of content, audiovisual media sector"
"Andrus Ansip","Stig Joergen Gren
						            	|","03/09/2015","Brussels","Lenovo                                                   |","DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","03/09/2015","Brussels","Europa Distribution                                                   |","DSM, copyright"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|
									            	
						            	Jasmin Battista
						            	|","02/09/2015","Brussels","European Banking Federation                                                         (EBF)                                                   |","Meeting on DSM in the banking sector"
"Andrus Ansip","Stig Joergen Gren
						            	|","01/09/2015","Brussels","Hubert Burda Media Holding Kommanditgesellschaft                                                   |","Copyright, data protection, safe harbour"
"Andrus Ansip","Stig Joergen Gren
						            	|","31/08/2015","Brussels","DIGITALEUROPE                                                         (DE)                                                   |","DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","28/08/2015","Brussels","European Film Agency Directors                                                         (EFADS)                                                   |","DSM, copyright"
"Andrus Ansip","Maximilian Strotmann
						            	|","25/08/2015","Brussel","Mind the Bridge Foundation                                                         (MTB)                                                   |","SEC2SV, startups"
"Andrus Ansip","Stig Joergen Gren
						            	|","30/07/2015","Brussels","Springer Science+Business Media Deutschland GmbH                                                         (SSBM)                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","28/07/2015","Brussels","Union of European Football Associations                                                         (UEFA)                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","24/07/2015","Brussels","Seznam.cz, a.s.                                                         (Seznam.cz)                                                   |","E-commerce, platforms"
"Andrus Ansip","Stig Joergen Gren
						            	|","22/07/2015","Brussels","Liberty Global PLC.                                                         (LGI)                                                   |","Telecom, copyright"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|
									            	
						            	Stig Joergen Gren
						            	|","20/07/2015","Brussels","European Round Table of Industrialists                                                         (ERT)                                                   |","Digital Single Market, data economy"
"Andrus Ansip","Juhan Lepassaar
						            	|","17/07/2015","Brussels","Infineon Technologies AG                                                   |","Digital Single Market"
"Andrus Ansip","Stig Joergen Gren
						            	|
									            	
						            	Juhan Lepassaar
						            	|","14/07/2015","Brussels","The Walt Disney Company Benelux BVBA                                                   |","Copyright"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","14/07/2015","Brussels","European Wind Energy Association                                                         (EWEA)                                                   |","ETS Revision"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","14/07/2015","Brussels","Gesamtverband der Deutschen Versicherungswirtschaft e.V.                                                         (GDV)                                                   |","Cyber security"
"Andrus Ansip","Stig Joergen Gren
						            	|","13/07/2015","Brussels","the International Association for Measurement and Evaluation of Communication                                                         (AMEC)                                                   |                                                                                 Federation Internationale des Bureaux d’Extraits de Presse                                                         (FIBEP)                                                   |","Copyright"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","13/07/2015","Brussels","European Blind Union                                                         (EBU)                                                   |","Digital Single Market, accessibility"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","08/07/2015","Brussels","World Federation of Advertisers                                                         (WFA)                                                   |","data protection regulation"
"Andrus Ansip","Jasmin Battista
						            	|
									            	
						            	Kamila Kloc
						            	|","07/07/2015","Brussels","Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe)                                                   |","Platforms & geo-blocking"
"Andrus Ansip","Stig Joergen Gren
						            	|","06/07/2015","Brussels","PRS for Music                                                   |","Copyright"
"Andrus Ansip","Maximilian Strotmann
						            	|
									            	
						            	Juhan Lepassaar
						            	|
									            	
						            	Hanna Hinrikus
						            	|","03/07/2015","Brussels","Twitter International Company                                                         (TIC)                                                   |","DSM"
"Andrus Ansip","Juhan Lepassaar
						            	|
									            	
						            	Maximilian Strotmann
						            	|","03/07/2015","Brussels","Twitter International Company                                                         (TIC)                                                   |","DSM, data, innovation"
"Andrus Ansip","Stig Joergen Gren
						            	|","02/07/2015","Brussels","UPS Europe SPRL/BVBA                                                   |","Parcel delivery"
"Andrus Ansip","Juhan Lepassaar
						            	|","02/07/2015","Brussels","Confederation of Finnish Industries EK                                                         (EK)                                                   |","DSM"
"Andrus Ansip","Aare Järvan
						            	|","02/07/2015","Brussels","World Economic Forum                                                   |","Digital Single Market strategy"
"Andrus Ansip","Kamila Kloc
						            	|","30/06/2015","Brussels","European Competitive Telecommuniations Association                                                         (ECTA)                                                   |","TSM & review"
"Andrus Ansip","Aare Järvan
						            	|","30/06/2015","Brussels","NASDAQ                                                   |","Economy Financing and Updates on Estonia Financial Markets"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","30/06/2015","Brussels","Google                                                   |","Identity, Privacy and Security"
"Andrus Ansip","Stig Joergen Gren
						            	|","30/06/2015","Brussels","Apple Inc.                                                   |","copyright"
"Andrus Ansip","Hanna Hinrikus
						            	|
									            	
						            	Kamila Kloc
						            	|","29/06/2015","Brussels","Samsung Electronics Europe                                                   |","Digital Skills"
"Andrus Ansip","Kamila Kloc
						            	|
									            	
						            	Hanna Hinrikus
						            	|","29/06/2015","Brussels","CEC Government Relations (PL)                                                         (CEC GR)                                                   |","Digital Skills"
"Andrus Ansip","Stig Joergen Gren
						            	|","29/06/2015","Brussels","Facebook Ireland Limited                                                         (FB-I)                                                   |","Digital Single Market, data protection and privacy"
"Andrus Ansip","Stig Joergen Gren
						            	|","29/06/2015","Brussels","European Producers Club                                                         (EPC)                                                   |","Digital Single Market, copyright"
"Andrus Ansip","Jasmin Battista
						            	|","25/06/2015","Brussels","European Multi-channel and Online Trade Association                                                         (EMOTA)                                                   |","E-commerce"
"Andrus Ansip","Juhan Lepassaar
						            	|","25/06/2015","Brussels","Deloitte LLP                                                   |","DSM"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","24/06/2015","Brussels","Zurich Insurance Company Ltd                                                   |","Cyber security"
"Andrus Ansip","Stig Joergen Gren
						            	|","24/06/2015","Brussels","Federation of European Publishers                                                         (FEP-FEE)                                                   |","online e-lending, copyright"
"Andrus Ansip","Kamila Kloc
						            	|","23/06/2015","Brussels","TeliaSonera AB                                                   |","Telecom markets & regulations"
"Andrus Ansip","Jasmin Battista
						            	|","23/06/2015","Brussels","GSMA Europe                                                         (GSMA Europe)                                                   |","GSMA position"
"Andrus Ansip","Stig Joergen Gren
						            	|","23/06/2015","Brussels","The Walt Disney Company Benelux BVBA                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","22/06/2015","Brussels","Society of Audiovisual Authors                                                         (SAA)                                                   |","Copyright, remuneration of authors"
"Andrus Ansip","Stig Joergen Gren
						            	|","19/06/2015","Brussels","CA Technologies                                                   |","DSM, cloud"
"Andrus Ansip","Kamila Kloc
						            	|","18/06/2015","Brussels","Amazon Europe Core SARL                                                   |","Platforms & NIS"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|
									            	
						            	Juhan Lepassaar
						            	|","18/06/2015","Brussels","Schneider Electric                                                         (SE)                                                   |","DSM"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","18/06/2015","Brussels","Telefonica, S.A.                                                   |","Protection privacy of EU citizens"
"Andrus Ansip","Stig Joergen Gren
						            	|","17/06/2015","Brussels","Wal-mart Stores, Inc. and its subsidiaries and affiliates                                                         (WMT70)                                                   |","eCommerce data protection and privacy"
"Andrus Ansip","Hanna Hinrikus
						            	|
									            	
						            	Juhan Lepassaar
						            	|","17/06/2015","Brussels","Dublin Chamber of Commerce                                                   |","DSM"
"Andrus Ansip","Maximilian Strotmann
						            	|","17/06/2015","Brussels","Cisco Systems Inc.                                                         (Cisco)                                                   |","data, standards"
"Andrus Ansip","Kamila Kloc
						            	|","17/06/2015","Brussels","FairSearch Europe                                                   |","Platforms"
"Andrus Ansip","Stig Joergen Gren
						            	|","16/06/2015","Brussels","ORGALIME                                                         (ORGALIME)                                                   |","DSM, standards"
"Andrus Ansip","Hanna Hinrikus
						            	|
									            	
						            	Laure Chapuis-Kombos
						            	|
									            	
						            	Juhan Lepassaar
						            	|","16/06/2015","Brussels","IBM Corporation                                                         (IBM)                                                   |","Transatlantic relationship in the context of the DSM"
"Andrus Ansip","Maximilian Strotmann
						            	|","16/06/2015","Brussels","Fundacion Europea para la Sociedad de la Informacion                                                         (FESI)                                                   |","e-government, data, innovation"
"Andrus Ansip","Kamila Kloc
						            	|","16/06/2015","Brussels","Telekom Austria Group                                                         (TAG)                                                   |","Review of telecom framework."
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","16/06/2015","Brussels","IBM Corporation                                                         (IBM)                                                   |","DSM"
"Andrus Ansip","Kamila Kloc
						            	|","16/06/2015","Brussels","Telekom Austria Group                                                         (TAG)                                                   |","Review of telecom framework."
"Andrus Ansip","Jasmin Battista
						            	|","15/06/2015","Brussels","MEDIASET S.p.A.                                                   |","DSM Communication"
"Andrus Ansip","Jasmin Battista
						            	|","12/06/2015","Brussels","European Pari Mutuel Association                                                         (EPMA)                                                   |","E-Commerce"
"Andrus Ansip","Juhan Lepassaar
						            	|","10/06/2015","Brussels","Statoil ASA                                                         (STL/STO)                                                   |","Public private partnership in the digital agenda"
"Andrus Ansip","Kamila Kloc
						            	|","09/06/2015","Brussels","Prysmian Group                                                   |","Fiber manufacturing technology."
"Andrus Ansip","Kamila Kloc
						            	|","09/06/2015","Brussels","Microsoft Corporation                                                   |","Copyright refrom, geo-blocking and platforms."
"Andrus Ansip","Stig Joergen Gren
						            	|","09/06/2015","Brussels","TechMarket Sweden AB                                                         (TechMarket)                                                   |","DSM Strategy"
"Andrus Ansip","Stig Joergen Gren
						            	|","05/06/2015","Brussels","Bureau Européen des Unions de Consommateurs                                                         (BEUC)                                                   |","DSM, Copyright reform"
"Andrus Ansip","Maximilian Strotmann
						            	|","04/06/2015","Brussels","Bayerische Motoren Werke Aktiengesellschaft                                                         (BMW Group)                                                   |","startups, innovation, data"
"Andrus Ansip","Stig Joergen Gren
						            	|","04/06/2015","Brussels","Europeana Foundation                                                         (Europeana)                                                   |","Presentation of Europeana platform"
"Andrus Ansip","Stig Joergen Gren
						            	|","04/06/2015","Brussels","RELX Group                                                   |","DSM, Copyright reform, text and data mining"
"Andrus Ansip","Stig Joergen Gren
						            	|","03/06/2015","Brussels","Sky plc                                                         (SKY)                                                   |","Media services, copyright, broadcasting"
"Andrus Ansip","Stig Joergen Gren
						            	|","03/06/2015","Brussels","BUSINESSEUROPE                                                   |","DSM Strategy, Platforms, Data initiative"
"Andrus Ansip","Stig Joergen Gren
						            	|","03/06/2015","Brussels","BOUYGUES EUROPE                                                         (BY EUR)                                                   |","Copyright, territoriality"
"Andrus Ansip","Kamila Kloc
						            	|","03/06/2015","Brussels","Iliad                                                   |","Telecom review, spectrum policy, roaming."
"Andrus Ansip","Maximilian Strotmann
						            	|","02/06/2015","Brussels","CECED (European Committee of Domestic Equipment Manufacturers)                                                         (CECED)                                                   |","Industry, internet of things, standardisation"
"Andrus Ansip","Stig Joergen Gren
						            	|","02/06/2015","Brussels","Société des Auteurs, Compositeurs et Editeurs de Musique                                                         (SACEM)                                                   |","Copyright, music industry development and platforms"
"Andrus Ansip","Stig Joergen Gren
						            	|","02/06/2015","Brussels","News Corporation                                                         (News Corp)                                                   |","Digital Single Market, copyright, media"
"Andrus Ansip","Stig Joergen Gren
						            	|
									            	
						            	Juhan Lepassaar
						            	|","02/06/2015","Brussels","Covington & Burling LLP                                                   |","meeting with News Corporation on DSM Strategy - effect online publishing"
"Andrus Ansip","Stig Joergen Gren
						            	|","29/05/2015","Brussels","European Small Business Alliance                                                         (ESBA)                                                   |","E-commerce"
"Andrus Ansip","Stig Joergen Gren
						            	|","29/05/2015","Brussels","Groupement Européen des Sociétés d'Auteurs et Compositeurs                                                         (GESAC)                                                   |","Copyright"
"Andrus Ansip","Kamila Kloc
						            	|","28/05/2015","Brussels","Google                                                   |","DSM & platforms"
"Andrus Ansip","Stig Joergen Gren
						            	|","27/05/2015","Brussels","Yelp                                                   |","E-commerce, platforms"
"Andrus Ansip","Kamila Kloc
						            	|
									            	
						            	Jasmin Battista
						            	|","27/05/2015","Brussels","ORGANIZACIÓN NACIONAL DE CIEGOS ESPAÑOLES                                                         (ONCE)                                                   |","DSM and accessibility"
"Andrus Ansip","Stig Joergen Gren
						            	|","27/05/2015","Brussels","Verband Privater Rundfunk und Telemedien e.V.                                                         (VPRT)                                                   |","Copyright"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","26/05/2015","Brussels","Symantec Corporation                                                         (SYMC)                                                   |","Cybersecurity, privacy, cooperation with industry"
"Andrus Ansip","Stig Joergen Gren
						            	|","22/05/2015","Brussels","Sky Italia                                                         (SkyIT)                                                   |","Copyright"
"Andrus Ansip","Hanna Hinrikus
						            	|","22/05/2015","Brussels","APCO Worldwide                                                   |","Digital Skills"
"Andrus Ansip","Hanna Hinrikus
						            	|","22/05/2015","Brussels","Workday                                                   |","Digital Skills"
"Andrus Ansip","Kamila Kloc
						            	|
									            	
						            	Jasmin Battista
						            	|","21/05/2015","Brussels","Electricité Réseau Distribution France                                                         (ERDF)                                                   |","Utilities-telco synergies in infrastructure roll-out, smart technologies, smart meters."
"Andrus Ansip","Juhan Lepassaar
						            	|
									            	
						            	Stig Joergen Gren
						            	|","21/05/2015","Brussels","ORGALIME                                                         (ORGALIME)                                                   |","DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|","21/05/2015","Brussels","Zweites Deutsches Fernsehen                                                         (ZDF)                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","21/05/2015","Brussels","SES S.A.                                                         (SES)                                                   |","Satellite telecom and connectivity"
"Andrus Ansip","Stig Joergen Gren
						            	|","20/05/2015","Brussels","News Corporation                                                         (News Corp)                                                   |","Copyright, media"
"Andrus Ansip","Kamila Kloc
						            	|","20/05/2015","Brussels","AT&T, Inc.                                                         (AT&T)                                                   |","Net neutrality, sprectrum policies (US vs EU), access regulation and platforms"
"Andrus Ansip","Juhan Lepassaar
						            	|","20/05/2015","Brussels","Guardian Media Group                                                         (GMG)                                                   |","DSM"
"Andrus Ansip","Juhan Lepassaar
						            	|
									            	
						            	Kamila Kloc
						            	|","19/05/2015","Brussels","Salesforce                                                   |","DSM"
"Andrus Ansip","Juhan Lepassaar
						            	|","19/05/2015","Brussels","Dell Inc                                                   |","DSM strategy"
"Andrus Ansip","Stig Joergen Gren
						            	|","18/05/2015","Brussels","Alliance for Intellectual Property                                                         (Alliance for IP)                                                   |","Copyright, copyright enforcement"
"Andrus Ansip","Kamila Kloc
						            	|","18/05/2015","Brussels","EUROCITIES                                                   |","Digital Single Market and urban dimension of it."
"Andrus Ansip","Stig Joergen Gren
						            	|","13/05/2015","Brussels","ISFE - Representing the European Videogame Industry                                                         (ISFE)                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","11/05/2015","Brussels","BUSINESSEUROPE                                                   |","DSM, Industry 4.0"
"Andrus Ansip","Stig Joergen Gren
						            	|","07/05/2015","Brussels","Gemalto SA                                                   |","Data cloud and security, NIS"
"Andrus Ansip","Juhan Lepassaar
						            	|
									            	
						            	Stig Joergen Gren
						            	|","07/05/2015","Brussels","Samsung Electronics Europe                                                   |","mHealth and Internet of Things"
"Andrus Ansip","Maximilian Strotmann
						            	|","07/05/2015","Brussels","FacilityLive OpCo                                                         (FacilityLive)                                                   |","startups"
"Andrus Ansip","Aare Järvan
						            	|","06/05/2015","Brussels","Tax Incentivised Savings Association                                                         (TISA)                                                   |","Consumers' Engagement with Financial Markets - Power of Online Tools"
"Andrus Ansip","Aare Järvan
						            	|
									            	
						            	Juhan Lepassaar
						            	|","05/05/2015","Brussels","Confederation of Finnish Industries EK                                                         (EK)                                                   |","Digital Single Market"
"Andrus Ansip","Kamila Kloc
						            	|
									            	
						            	Jasmin Battista
						            	|","30/04/2015","Brussels","Verband der Anbieter von Telekommunikations- und Mehrwertdiensten                                                         (VATM)                                                   |","Digital Single Market"
"Andrus Ansip","Aare Järvan
						            	|","30/04/2015","Stockholm","Tele2 AB                                                   |","Data roaming"
"Andrus Ansip","Aare Järvan
						            	|","29/04/2015","Stockholm","Ericsson                                                   |","Digital Single Market policy, R&D, spectrum"
"Andrus Ansip","Kamila Kloc
						            	|","28/04/2015","Brussels","Fastweb S.p.A.                                                   |","Review of telecom regulation (access regulation), investment in broadband, DSM"
"Andrus Ansip","Maximilian Strotmann
						            	|","27/04/2015","Brussels","Volkswagen Aktiengesellschaft                                                         (VOLKSWAGEN AG)                                                   |","standards, data, transport"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","27/04/2015","Brussels","IBM Corporation                                                         (IBM)                                                   |","Consumer cloud"
"Andrus Ansip","Jasmin Battista
						            	|","27/04/2015","Brussels","BlaBlaCar                                                   |","Questions d’économie du partage et de marché unique du numérique"
"Andrus Ansip","Kamila Kloc
						            	|","23/04/2015","Brussels","TDF                                                   |","Spectrum policies, 700MHz (meeting together with Eric Mamer of Cab Oettinger)"
"Andrus Ansip","Stig Joergen Gren
						            	|
									            	
						            	Juhan Lepassaar
						            	|","23/04/2015","Brussels","CA Technologies                                                   |","Digital Single Market Strategy"
"Andrus Ansip","Stig Joergen Gren
						            	|","23/04/2015","Brussels","European CIO Association                                                         (EuroCIO)                                                   |","Digital Single Market, E-government"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","23/04/2015","Brussels","Verband der TÜV e.V.                                                         (VdTÜV)                                                   |","Network and information security"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","23/04/2015","Brussels","Hewlett-Packard                                                         (HP)                                                   |","Data protection regulation"
"Andrus Ansip","Aare Järvan
						            	|","23/04/2015","Brussels","Maaelu Edendamise Sihtasutus                                                   |","DSM"
"Andrus Ansip","Jasmin Battista
						            	|","22/04/2015","Brussels","Tele2 AB                                                   |","Consumer protection and innovation, m-Health on DSM"
"Andrus Ansip","Stig Joergen Gren
						            	|
									            	
						            	Juhan Lepassaar
						            	|","22/04/2015","Brussels","QUALCOMM Inc.                                                         (QCOM (NASDAQ))                                                   |","DSM with a focus on wireless / IoT"
"Andrus Ansip","Stig Joergen Gren
						            	|","21/04/2015","Brussels","Spotify AB                                                   |","Copyright"
"Andrus Ansip","Stig Joergen Gren
						            	|","21/04/2015","Brussels","IMPALA Association Internationale AISBL                                                         (IMPALA)                                                   |","Copyright"
"Andrus Ansip","Kamila Kloc
						            	|","21/04/2015","Brussels","Cisco Systems Inc.                                                         (Cisco)                                                   |","Net neutrality"
"Andrus Ansip","Kamila Kloc
						            	|
									            	
						            	Jasmin Battista
						            	|","20/04/2015","Brussels","Seldia - The European Direct Selling Association                                                         (Seldia)                                                   |","Direct selling, links with e-commerce"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","20/04/2015","Brussels","IRG Advisors LLP                                                         (Odgers Berndtson)                                                   |","Transfert of data, cloud-based database"
"Andrus Ansip","Stig Joergen Gren
						            	|","20/04/2015","Brussels","Channel 4                                                   |","Copyright"
"Andrus Ansip","Maximilian Strotmann
						            	|","17/04/2015","Brussels","Bayerische Motoren Werke Aktiengesellschaft                                                         (BMW Group)                                                   |","standards, data, IoT, transport policy"
"Andrus Ansip","Hanna Hinrikus
						            	|
									            	
						            	Juhan Lepassaar
						            	|","17/04/2015","Brussels","American Chamber of Commerce to the European Union                                                         (AmCham EU)                                                   |","Digital Dingle Market and digital priorities"
"Andrus Ansip","Stig Joergen Gren
						            	|","17/04/2015","Brussels","ICMP, the global voice of music publishing                                                         (ICMP)                                                   |","Copyright"
"Andrus Ansip","Maximilian Strotmann
						            	|","16/04/2015","Brussels","Adobe Systems Benelux bv                                                         (Adobe)                                                   |","standards, interoperability"
"Andrus Ansip","Laure Chapuis-Kombos
						            	|","16/04/2015","Brussels","Confrontations Europe                                                   |","Agenda numérique"
"Andrus Ansip","Jasmin Battista
						            	|","16/04/2015","Brussels","GROUPE G7                                                   |","Urban mobility"
"Andrus Ansip","Stig Joergen Gren
						            	|","16/04/2015","Brussels","Association of Commercial Television in Europe                                                         (ACT)                                                   |","Copyright"
"Andrus Ansip","Jasmin Battista
						            	|","16/04/2015","Brussels","Association of European Public Postal Operators                                                         (PostEurop AISBL)                                                   |","Digital Single Market, parcel delivery, industry voluntary action"
