,Name,Category of registration,Revenue,Nb employees,GUO Name,GUO Revenue,GUO Nb employees,BvD ID,Degree
2953,ITI - The Information Technology Industry Council,Trade and business associations,,,,,,,14.0
2954,FlixBus Italia,Companies and groups,77427.7271665406,51.0,FLIX SE,683.0,3400.0,IT08776680962,2.0
2955,Enviva,Companies and groups,1094276.0,1386.0,ENVIVA INC,1094.0,1386.0,US464097730,3.0
2956,ITA AIRWAYS,Companies and groups,,,,,,,1.0
2957,Toy Industries of Europe,Trade and business associations,1155.36970219803,5.0,,,,BE0444581979,3.0
2958,Lugny conseil,Professional consultancies,341.91506687355,,MR PHILIPPE MAURICE MARIE MATHERAT-AUDAN,,,FR442781746,2.0
2959,European Digital Finance Association,Trade and business associations,,1.0,,,,BE0747637792,2.0
2960,Assarmatori,Trade and business associations,,,ASSARMATORI,,,IT97962810582,1.0
2961,Fossil Free Politics,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
2962,Alitalia Società Aerea Italiana S.p.A. in Amministrazione Straordinaria,,3424488.2322154,10134.0,COMPAGNIA AEREA ITALIANA S.P.A.,6.0,1.0,IT13029381004,1.0
2963,Center for Humane Technology,"Non-governmental organisations, platforms and networks and similar",1250.0,6.0,"HUMAN TECHNOLOGIES, INC.",1.0,6.0,US320482073L,3.0
2964,Associazione Italiana Lattiero Casearia,Trade and business associations,,,ASSOCIAZIONE ITALIANA LATTIERO CASEARIA,,,IT80096650157,2.0
2965,Vrije Universiteit Brussel,Academic institutions,,1000.0,VRIJE UNIVERSITEIT BRUSSEL,,1000.0,BE0449012406,2.0
2966,HYDROGEN EUROPE RESEARCH,Trade unions and professional associations,,1.0,,,,BE0897679372,3.0
2967,B’Tselem – The Israeli Information Center for Human Rights in the Occupied Territories,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
2968,Irish Congress Trade Unions,Trade unions and professional associations,1200.94339752197,9.0,,,,GBML913718,5.0
2969,Universidade de Aveiro,,142553.65817289,2166.0,,,,PT501461108,1.0
2970,Centre de liaison des industries transformatrices de viande de l'UE,Trade and business associations,,,,,,,14.0
2971,European Consumer Centre Belgium,"Non-governmental organisations, platforms and networks and similar",,6.0,,,,IE296429,2.0
2972,Fédération nationale des syndicats d'agents généraux d'assurance,Trade unions and professional associations,,,,,,,3.0
2973,ONTRAS Gastransport GmbH,Companies and groups,516439.284165079,372.0,ENBW ENERGIE BADEN-WUERTTEMBERG AG,62592.0,26980.0,DE3150328400,1.0
2974,Wizz Air Group,Companies and groups,1.41698253154755,,,,,PL278159392,5.0
2975,eFuel Alliance,"Other organisations, public or mixed entities",,11.0,,,,AT9111360910,4.0
2976,European Confederation of Woodworking Industries,Trade and business associations,,,,,,,3.0
2977,La Coopération Agricole,Trade unions and professional associations,,,ADHERENTS,,,FR784179665,2.0
2978,Alliance for the Freedom of the CAR Repair,Trade and business associations,,,,,,,3.0
2979,FIBA Europe e.V.,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,DE8170646379,1.0
2980,Euro-Toques International,"Other organisations, public or mixed entities",,1.0,MRS CAROLA BRENNENSTUHL,,,DE7330422015,1.0
2981,AXA XL,Companies and groups,,,AXA SA,106036.0,,LULB154964,1.0
2982,Federation of European Securities Exchanges,Trade and business associations,,7.0,,,,BE0878308670,12.0
2983,Freight Transport Association Ireland,Trade and business associations,885.542804596424,6.0,,,,IE487041,2.0
2984,EUROPEAN BICYCLE MANUFACTURERS ASSOCIATION,,,,,,,BE0534680034,1.0
2985,Polymun Scientific Immunbiologische Forschung GmbH,,77703.7991710453,113.0,MR DIETMAR KATINGER,,,AT9110156317,1.0
2986,Women Environmental Programme,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
2987,International Dalit Solidarity Network,"Non-governmental organisations, platforms and networks and similar",,3.0,,,,DK27388930,1.0
2988,European Society of Radiology,Trade unions and professional associations,,,,,,,1.0
2989,Skift BUSINESS CLIMATE LEADERS,,,,,,,,1.0
2990,American Express Corporation,Companies and groups,2558.0,7.0,,,,US169415529L,3.0
2991,The European Digital Payments Industry Alliance ,Trade and business associations,,,,,,,3.0
2992,Energy Co-operatives Ireland Ltd,Companies and groups,,,,,,IE175113,2.0
2993,World Uyghur Congress,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0500864844,1.0
2994,Trainline SAS,Companies and groups,26527.1622677665,51.0,TRAINLINE PLC,396.0,912.0,FR512277450,3.0
2995,Central Denmark EU Office,Associations and networks of public authorities,,,,,,BE0846856916,1.0
2996,European Payment Institutions Federation,Trade and business associations,,,,,,BE0841649501,3.0
2997,Nordion (Canada) Inc.,Companies and groups,464962.0,,"GTCR, LLC",,,CA20162NC,1.0
2998,Moniheli ry,"Non-governmental organisations, platforms and networks and similar",106.659948825836,15.0,,,,FI23647202,2.0
2999,kENUP Foundation,"Non-governmental organisations, platforms and networks and similar",,,KENUP FOUNDATION,,,MTLPF173,2.0
3000,CEMBUREAU - The European Cement Association,Trade and business associations,,,CEMBUREAU THE EUROPEAN CEMENT ASSOCIATION,,,SE8460000907,29.0
3001,Prospera International Network of Women's Funds,"Non-governmental organisations, platforms and networks and similar",,,,,,CA330590348L,2.0
3002,Γενική Συνομοσπονδία Επαγγελματιών Βιοτεχνών Εμπόρων Ελλάδας,Trade unions and professional associations,,,,,,GR090014836,2.0
3003,UTOPIA LAB S.R.L.,Professional consultancies,,,,,,BE0727824949,1.0
3004,MVM Energetika Ltd.,Companies and groups,22429759.0521583,18042.0,MINISTRY OF ENERGY,,,HU10760798,4.0
3005,Burning Glass Technologies,,2720.0,7.0,"BURNING GLASS INTERNATIONAL, INC.",3.0,7.0,US184319469L,2.0
3006,CARE Österreich,"Non-governmental organisations, platforms and networks and similar",,6.0,,,,AT9110120621,1.0
3007,Bundesverband der Arzneimittel-Hersteller e.V.,Trade and business associations,,50.0,,,,DE5030089905,2.0
3008,NovaPay LLC,Companies and groups,5950.0,6.0,,,,US291325220L,2.0
3009,Roofit Solar Energy,,3773.57032648623,,,,,EE12978418,6.0
3010,Third Generation Environmentalism Ltd,Think tanks and research institutions,9287.95914776385,,THIRD GENERATION ENVIRONMENTALISM LIMITED,9.0,,GB05158916,36.0
3011,Trainline.com Limited,,345935.129680037,789.0,TRAINLINE PLC,396.0,912.0,GB03846791,1.0
3012,Bureau Européen des Unions de Consommateurs,"Non-governmental organisations, platforms and networks and similar",6440.24183624923,54.0,,,,BE0422071051,89.0
3013,European Young Engineers MTÜ,"Non-governmental organisations, platforms and networks and similar",,,,,,EE80549906,2.0
3014,Airports Council International - European Region,Trade and business associations,6576.38252487659,20.0,,,,BE0431887748,17.0
3015,Fundacja im. Kazimierza Pułaskiego,Think tanks and research institutions,1336.27155715227,10.0,,,,PL140339112,1.0
3016,DIN Deutsches Institut für Normung e. V.,"Other organisations, public or mixed entities",,530.0,DIN DEUTSCHES INSTITUT FÜR NORMUNG E.V.,,530.0,DE2010004547,7.0
3017,Center for International Environmental Law,"Non-governmental organisations, platforms and networks and similar",2480.0,5.0,CENTER FOR INTERNATIONAL ENVIRONMENTAL LAW INC,2.0,5.0,US131223818L,6.0
3018,European Organisation for Research and Treatment of Cancer,"Non-governmental organisations, platforms and networks and similar",41153.8783754629,236.0,,,,BE0408292992,4.0
3019,Deutscher Caritasverband e. V.,"Non-governmental organisations, platforms and networks and similar",,330.0,DEUTSCHER CARITASVERBAND E.V,,330.0,DE7010003104,2.0
3020,"Banco Santander, S.A.",Companies and groups,58577643.8951492,206462.0,BANCO SANTANDER SA,58578.0,206462.0,ESA39000013,39.0
3021,forum anders reisen e.V.,Trade and business associations,,3.0,,,,DE7010343720,1.0
3022,OneFiber Interconnect Germany GmbH,Companies and groups,,3.0,DR. LUTZ HELMIG,,,DE7290587632,1.0
3023,GMV Aerospace and Defence SAU,Companies and groups,216355.816432867,1114.0,DR CARMEN MONICA MARTINEZ-WALTER,,,ESA79197356,2.0
3024,SuperNode Ltd,Companies and groups,,24.0,,,,IE633379,1.0
3025,"Plasma Protein Therapeutics Association Europe, international Association without lucrative purpose",Trade and business associations,4158.52848038793,10.0,,,,BE0453837462,4.0
3026,Hyundai Motor Europe,Companies and groups,9926401.56504463,443.0,HYUNDAI MOTOR COMPANY,112466.0,,DE6210274778,1.0
3027,International Biocontrol Manufacturers' Association,Trade and business associations,,2.0,INTERNATIONAL BIOCONTROL MANUFACTURERS ASSOCIATION,,2.0,BE0549830147,7.0
3028,Huis van de Nederlandse Provincies,Associations and networks of public authorities,,1.0,,,,BE0851753238,1.0
3029,The Church of Jesus Christ of Latter-day Saints - European Union and International Affairs Office,Organisations representing churches and religious communities,,,,,,,4.0
3030,innogy SE,,9406697.80957699,2346.0,E.ON SE,124527.0,71613.0,DE5030685019,3.0
3031,Academy of European Law,Academic institutions,,,,,,,5.0
3032,European Road Transport Research Advisory Council,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
3033,Joint European Disruptive Initiative,"Non-governmental organisations, platforms and networks and similar",34.3517673254013,,,,,FR850992728,4.0
3034,EirGrid Group plc,Companies and groups,839910.451844394,506.0,MINISTER FOR PUBLIC EXPENDITURE AND REFORM MINISTER FOR PUBLIC EXPENDITURE AND REFROM,,,IE338522,2.0
3035,GREEK FORUM OF REFUGEES,,,,,,,,2.0
3036,Alliance for European Logistics,Trade and business associations,,,,,,,1.0
3037,European Tyre & Rubber Manufacturers' Association,Trade and business associations,,6.0,,,,BE0881606175,14.0
3038,ROBIN WOOD -- Gewaltfreie Aktionsgemeinschaft für Natur und Umwelt e.V.,"Non-governmental organisations, platforms and networks and similar",,5.0,,,,DE2050202042,1.0
3039,EEW Energy from Waste GmbH,Companies and groups,,313.0,GOVERNMENT OF CHINA,,,DE2030002431,1.0
3040,SpeakUpAfrica,"Non-governmental organisations, platforms and networks and similar",852.0,1.0,,,,US273753962L,1.0
3041,New Financial LLP,Think tanks and research institutions,,7.0,,,,GBOC390031,1.0
3042,Union of European Chambers of Commerce for Transport,,,,,,,,2.0
3043,Web-IQ B.V.,Companies and groups,,28.0,,,,NL53250036,1.0
3044,Centrale Générale des Syndicats Libéraux de Belgique,Trade unions and professional associations,,,,,,,1.0
3045,PPRO Financial Ltd,Companies and groups,63622.3893822038,197.0,PPRO HOLDING GMBH,73.0,269.0,GB07653641,2.0
3046,CboeEurope,,,,,,,,
3047,Conscience Consulting,Professional consultancies,,,,,,BE0840628526,2.0
3048,Micro-Mobility for Europe,Trade and business associations,,,,,,,2.0
3049,Association of European Public Postal Operators,Trade and business associations,,,,,,,5.0
3050,Eli Lilly and Company,Companies and groups,28541400.0,39000.0,ELI LILLY AND COMPANY,28541.0,39000.0,US350470950,5.0
3051,Ecolabelling Sweden,"Other organisations, public or mixed entities",,,,,,,1.0
3052,"European Council of the Paint, Printing Ink and Artists' Colours Industry",Trade and business associations,,,,,,,3.0
3053,FERRERO International,Companies and groups,301055.789318444,81.0,FAMILLE FERRERO,,,LULB60814,3.0
3054,City of London Corporation,"Other organisations, public or mixed entities",64300.0,94.0,CITY OF LONDON FINANCE CORPORATION,64.0,94.0,US131494050L,4.0
3055,Ibec,Trade and business associations,61862.2561836708,62.0,,,,JP1290001002107,16.0
3056,IOTA Stiftung,"Non-governmental organisations, platforms and networks and similar",,,,,,DE3070505031,4.0
3057,Promote Ukraine,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0552564062,1.0
3058,Growing Media Europe,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0666595876,1.0
3059,Federation of Veterinarians of Europe,Trade unions and professional associations,,8.0,,,,BE0851035537,3.0
3060,Confederatia Sindicala Nationala MERIDIAN,Trade unions and professional associations,,,,,,RO7556055,2.0
3061,Lifelong Learning Platform,"Non-governmental organisations, platforms and networks and similar",349.48640316166,8.0,MR KONSTANTIN VLADIMIROVICH KRASNOSHCHEKOV,,,RU61039602,6.0
3062,Kangaroo Group,Think tanks and research institutions,1035.34655689378,65.0,,,,HU25788518,5.0
3063,PANTARHEI Corporate Advisors,Professional consultancies,,,,,,,1.0
3064,European Automotive Cluster Network,"Non-governmental organisations, platforms and networks and similar",,,,,,,6.0
3065,European Society for Medical Oncology (ESMO),Trade unions and professional associations,,160.0,EUROPEAN SOCIETY FOR MEDICAL ONCOLOGY (ESMO),,160.0,CHCHE109279978,1.0
3066,Federation of the European Sporting Goods Industry,Trade and business associations,,,,,,,6.0
3067,Power Shift Africa,,,,,,,KEPVTAAAAYW7,1.0
3068,Svaz průmyslu a dopravy ČR,Trade and business associations,3536.53699159622,75.0,,,,CZ00536211,3.0
3069,Snellmanin Lihanjalostus Oy,Companies and groups,340869.197455049,1314.0,MR YLI 300 OSAKASTA PERHEIDEN OMISTAMA,,,FI22123407,2.0
3070,European Policy Forum,Think tanks and research institutions,,3.0,,,,GB02683041,1.0
3071,Health Care Without Harm Europe,"Non-governmental organisations, platforms and networks and similar",,15.0,,,,BE0767799441,4.0
3072,CARE International Aisbl,"Non-governmental organisations, platforms and networks and similar",,15.0,,,,CHCHE357762646,12.0
3073,industriAll European Trade Union,Trade unions and professional associations,,,,,,,48.0
3074,NAAREA SAS,,802.919029169083,29.0,MR JEAN-LUC JACQUES MARIE ALEXANDRE,,,FR882949506,1.0
3075,CANOPEA,"Non-governmental organisations, platforms and networks and similar",2734.91941004276,25.0,CANOPEA,3.0,25.0,BE0414894140,2.0
3076,Melissa: Network of Migrant Women in Greece,,,,,,,GR131878901000,1.0
3077,Fluency Innovation Limited,Companies and groups,,,MS INGA MULLINS,,,IE687310,3.0
3078,Insurance & Pension Denmark (Forsikring & Pension),Trade and business associations,,75.0,FORSIKRING OG PENSION,,75.0,DK11628184,2.0
3079,Volvo AB,Companies and groups,45407630.5031627,102155.0,AB VOLVO,45408.0,102155.0,SE5560125790,22.0
3080,Fronius International GmbH,Companies and groups,1170635.29098988,,G & K PRIVATSTIFTUNG,,3.0,AT9070080898,2.0
3081,GML Limited,Companies and groups,,,ZHOU YI FENG,,,TW82793556,1.0
3082,Hutnicza Izba Przemysłowo-Handlowa,Trade and business associations,1631.15093171597,,,,,PL271083190,1.0
3083,European Carbon Farmers Sp. z o.o.,Companies and groups,19.7044336795807,,MR MATEUSZ CIASNOCHA,,,PL387462054,1.0
3084,Deutsches Kinderhilfswerk e.V.,"Non-governmental organisations, platforms and networks and similar",,75.0,,,,DE2011024668,1.0
3085,Universiteit Utrecht,Academic institutions,,2.0,,,,SE5020750872,1.0
3086,Advanced fuel Solutions,,2930.0,13.0,ADVANCED FUEL SOLUTIONS INC.,3.0,13.0,US126184119L,1.0
3087,European Association for Storage of Energy,Trade and business associations,,,,,,BE0841068588,3.0
3088,Global Young Academy,Think tanks and research institutions,118.511955002189,1.0,MRS ANA ISABEL ESEVERRI MAYER,,,ESB02832053,1.0
3089,"AT&T, Inc.",Companies and groups,120741000.0,160700.0,AT&T INC.,120741.0,160700.0,US431301883,10.0
3090,Endesa,Companies and groups,35086856.7657471,9258.0,ENEL SPA,153606.0,65124.0,ESA28023430,7.0
3091,Worldline,Companies and groups,5720173.05552959,18054.0,WORLDLINE,5720.0,18054.0,FR378901946,4.0
3092,Netzwerk für Osteuropa-Berichterstattung e.V.,"Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
3093,Handwerkskammer Erfurt,Trade unions and professional associations,,,HANDWERKSKAMMER ERFURT,,,DE820560429,2.0
3094,Securing America's Future Energy Foundation,"Non-governmental organisations, platforms and networks and similar",12700.0,30.0,,,,US238427489L,1.0
3095,Red Bull GmbH,Companies and groups,8872351.14058889,,RED BULL GMBH,8872.0,,AT9130031724,1.0
3096,Stiftung Neue Verantwortung e.V.,Think tanks and research institutions,,34.0,,,,DE2012087554,2.0
3097,Mast-Jägermeister SE,Companies and groups,815608.133411407,897.0,SE AKTIONAERE DER MAST-JAEGERMEISTER,,,DE2030005748,1.0
3098,Ośrodek Studiów Wschodnich im. Marka Karpia,Think tanks and research institutions,,35.0,,,,PL010000908,2.0
3099,Ellen MacArthur Foundation,"Non-governmental organisations, platforms and networks and similar",20204.8599228859,174.0,ELLEN MACARTHUR FOUNDATION,20.0,174.0,GB06897785,5.0
3100,Emmaus Europe,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR489855122,1.0
3101,Lauksaimniecības organizāciju sadarbības padome,,,7.0,,,,LV000808743,2.0
3102,Mitsubishi UFJ Financial Group,Companies and groups,47832019.5198711,127122.0,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",48390.0,127122.0,JP4010001073486,3.0
3103,KPMG,Companies and groups,3013271.60108089,15850.0,KPMG LLP,3013.0,15850.0,GBOC301540,2.0
3104,SA Eestimaa Looduse Fond,,,,EESTIMAA LOODUSE FOND SA,,,EE90001457,1.0
3105,Central Europe Energy Partners,,,1.0,,,,BE0826767820,4.0
3106,Lietuvos žemės ūkio bendrovių asociacija,Trade and business associations,,,,,,,4.0
3107,"European Non-GMO Industry Association, AISBL",Trade and business associations,,,,,,,2.0
3108,McCourt Europe,,151474.566053391,346.0,MR FRANK MCCOURT,,,FR409756368,1.0
3109,Immutable Insight GmbH,,,23.0,IMMUTABLE INSIGHT GMBH,,23.0,DE8290802540,4.0
3110,EPI Company,Companies and groups,,1.0,,,,BE0755811726,4.0
3111,BGP Products Operations GmbH – a Viatris Company,Companies and groups,,4.0,VIATRIS INC.,16263.0,37000.0,CHCHE234631263,1.0
3112,Brazilian Association of Vegetable Oil Industries,Trade and business associations,,,,,,,1.0
3113,Cultural Survival,"Non-governmental organisations, platforms and networks and similar",4450.0,8.0,"CULTURAL SURVIVAL,INC.",4.0,8.0,US125976448L,1.0
3114,European Land Registry Association,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0877958480,1.0
3115,Confédération des Petites et Moyennes Entreprises,Trade unions and professional associations,,, ,,,FR392724167,5.0
3116,Platform of European Social NGOs,"Non-governmental organisations, platforms and networks and similar",,,,,,,20.0
3117,BP p.l.c.,Companies and groups,242065000.0,67500.0,BP PLC,242065.0,67500.0,GB00102498,19.0
3118,DigitalES - Asociación Española para la Digitalización,Trade and business associations,,,,,,ESG87830998,4.0
3119,Environmental Justice Foundation,"Non-governmental organisations, platforms and networks and similar",0.0806039929389954,,ENVIRONMENTAL JUSTICE FOUNDATION,0.0,,GB03853159,11.0
3120,Polymateria Limited,Companies and groups,936.089098397493,30.0,POLYMATERIA LIMITED,1.0,30.0,GB09875556,1.0
3121,ePeacebuilders,,,,,,,,1.0
3122,Twilio Inc.,Companies and groups,3826321.0,8156.0,TWILIO INC.,3826.0,8156.0,US262574840,1.0
3123,Ultracongelados Virto S.A.U.,Companies and groups,430302.204187741,731.0,VIRTO FROZEN FOODS GROUP SL.,519.0,1500.0,ESA31117617,2.0
3124,B'nai B'rith International,"Non-governmental organisations, platforms and networks and similar",11900.0,103.0,,,,US131288190L,4.0
3125,ICLEI - Local Governments for Sustainability European Secretariat,Associations and networks of public authorities,,3.0,ICLEI - LOCAL GOVERNMENTS FOR SUSTAINABILITY E.V.,,3.0,DE5030566313,12.0
3126,Overseas Countries and Territories Association,Associations and networks of public authorities,,,,,,,1.0
3127,Forschungszentrum Jülich GmbH,Think tanks and research institutions,918680.734520839,6465.0,GOVERNMENT OF GERMANY,,,DE5010005859,4.0
3128,Conselho Consultivo para as Regiões Ultraperiféricas,"Non-governmental organisations, platforms and networks and similar",,,,,,,5.0
3129,Österreichischer Gewerkschaftsbund,Trade unions and professional associations,,2000.0,ÖSTERREICHISCHER GEWERKSCHAFTSBUND,,2000.0,AT9110714941,6.0
3130,Revolut Ltd,Companies and groups,854677.722129226,4655.0,REVOLUT GROUP HOLDINGS LTD,,,GB08804411,2.0
3131,OHB,Companies and groups,1050332.77946293,3025.0,FAMILIENPOOL FUCHS,,,DE2050298275,5.0
3132,Bonanza,Companies and groups,18000.0,11.0,,,,US183750003L,1.0
3133,Fern,"Non-governmental organisations, platforms and networks and similar",426.639795303345,,"UNITY HOLDINGS, LLC",,,FR817963523,39.0
3134,Rijksuniversiteit Groningen,Academic institutions,,2.0,,,,SE5020851118,1.0
3135,Business Bridge Europe,Professional consultancies,,,,,,BE0807714545,9.0
3136,Deutsche Sozialversicherung Arbeitsgemeinschaft Europa,"Other organisations, public or mixed entities",,5.0,,,,DE2012964134,2.0
3137,B4Ukraine,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
3138,Kooperationsstelle EU der Wissenschaftsorganisationen,Think tanks and research institutions,,,,,,,1.0
3139,STMicroelectronics,Companies and groups,16329000.0,51370.0,STMICROELECTRONICS NV,16329.0,51370.0,NL33194537,12.0
3140,"Gevo, Inc.",,1175.0,89.0,"GEVO, INC.",1.0,89.0,US870747704,4.0
3141,Malta Business Foundation,Trade unions and professional associations,,1.0,,,,BE0889926597,2.0
3142,Polenergia S.A.,,1612601.2470535,409.0,POLENERGIA S.A.,1613.0,409.0,PL012693488,1.0
3143,Cleantech ForEst Mittetulundusühing,"Non-governmental organisations, platforms and networks and similar",,,,,,EE80397767,1.0
3144,VDE Prüf- und Zertifizierungsinstitut GmbH,Companies and groups,113503.19085841,746.0,VDE VERBAND DER ELEKTROTECHNIK ELEKTRONIK INFORMATIONSTECHNIK,,1200.0,DE6210323236,1.0
3145,Assemblée permanente des Chambres d'Agriculture,,,,,,,BE0850184214,2.0
3146,Association of the European Poultry Breeders,Trade and business associations,,,,,,,2.0
3147,European Confederation of Inclusive Enterprises,,,,,,,,3.0
3148,Coalition for Epidemic Preparedness Innovations,"Non-governmental organisations, platforms and networks and similar",597446.0,76.0,,,,NO917687811,6.0
3149,Grünfin AS,,,11.0,GRÜNFIN GROUP OÜ,,,EE16145120,1.0
3150,Fundació ENT,,,,,,,ESG65444242,5.0
3151,Eesti Erametsaliit,"Non-governmental organisations, platforms and networks and similar",,,,,,EE80022332,3.0
3152,Københavns Universitet,Academic institutions,,17500.0,KOBENHAVNS UNIVERSITET,,17500.0,DK29979812,2.0
3153,Pearson,Companies and groups,4723413.73753548,20438.0,PEARSON PLC,4723.0,20438.0,GB00053723,2.0
3154,Elegrotech OÜ,,,1.0,,,,EE14158029,1.0
3155,L'Occitane International S.A.,Companies and groups,2325039.57125795,8701.0,L'OCCITANE GROUPE S.A.,,,LULB80359,2.0
3156,TrueLayer Ireland,Companies and groups,3.1067226433754,10.0,TRUELAYER (JERSEY) LIMITED,,,IE671615,1.0
3157,European Internet Services Providers Association,Trade unions and professional associations,,,,,,,5.0
3158,Euromontana,"Non-governmental organisations, platforms and networks and similar",47.9786823209822,0.0,MRS C. GEORGETA IORDACHE,,,RO14834391,5.0
3159,SPARK,"Non-governmental organisations, platforms and networks and similar",106886.183543129,143.0,,,,JP8240001005256,1.0
3160,European Rural Community Alliance,"Non-governmental organisations, platforms and networks and similar",,,,,,SE8024488713,3.0
3161,epicenter.works - Plattform Grundrechtspolitik,"Non-governmental organisations, platforms and networks and similar",,17.0,,,,AT9111145664,5.0
3162,Wreless Connect Ltd.,Companies and groups,70.0,2.0,,,,US277858388L,4.0
3163,Hogan Lovells International LLP,Law firms,1411852.82332003,3186.0,HOGAN LOVELLS INTERNATIONAL LLP,1412.0,3186.0,GBOC323639,1.0
3164,KONE Corporation,Companies and groups,11681077.6155591,63277.0,MR ANTTI HERLIN,,,FI19274001,2.0
3165,FEDERACIÓN NACIONAL DE COFRADÍAS DE PESCADORES,"Other organisations, public or mixed entities",,,,,,ESV28615789,3.0
3166,"Verein zur Förderung des Bergmannstages, der Rohstoffinitiative sowie der Aus- und Weiterbildung auf dem Gebiet der Rohstoffe","Non-governmental organisations, platforms and networks and similar",,,,,,,4.0
3167,The ADM Capital Foundation Limited,"Non-governmental organisations, platforms and networks and similar",,,,,,HK0015122676,5.0
3168,Fédération Internationale de Football Association,Trade unions and professional associations,5769213.0,814.0,FEDERATION INTERNATIONALE DE FOOTBALL ASSOCIATION (FIFA),5769.0,814.0,CHCHE107301064,4.0
3169,Infobip Ltd.,Companies and groups,1670646.46786843,3763.0,INFOBIP HOLDINGS LIMITED,,,GB07085757,5.0
3170,Publicis consultants,,35349.2295738637,156.0,PUBLICIS GROUPE S A,15144.0,98022.0,FR338519051,1.0
3171,Shape Robotics,Companies and groups,12622.557646662,28.0,SHAPE ROBOTICS A/S,13.0,28.0,DK38322656,1.0
3172,Managed Funds Association,Trade and business associations,25800.0,30.0,MANAGED FUNDS ASSOCIATION,26.0,30.0,US224246090L,5.0
3173,European Landowners' Organization asbl,"Non-governmental organisations, platforms and networks and similar",,19.0,,,,BE0458036374,20.0
3174,Trans-Atlantic Parliamentary Group,Think tanks and research institutions,2367.0,9.0,,,,US311422571L,3.0
3175,Alber & Geiger,Law firms,70.0,4.0,,,,US209892153L,5.0
3176,Transparency International Nederland,"Non-governmental organisations, platforms and networks and similar",,,,,,NL34127809,1.0
3177,Amsterdam: AI Technology for People,,,,,,,,3.0
3178,Koninklijke Philips,Companies and groups,19155060.2096319,77233.0,KONINKLIJKE PHILIPS N.V.,19155.0,77233.0,NL17001910,13.0
3179,KfW Bankengruppe,"Other organisations, public or mixed entities",3266994.23253536,7984.0,BUNDESREPUBLIK DEUTSCHLAND,,,DEFEB13328,18.0
3180,Centrient Pharmaceuticals,Companies and groups,49580.9999995636,,,,,SG201227875C,4.0
3181,"Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E.",Trade and business associations,,5.0,,,,BE0453103430,9.0
3182,Chamber of Commerce and Industry of Serbia,Trade and business associations,,,,,,,1.0
3183,Verband österreichischer Banken und Bankiers,Trade and business associations,,14.0,,,,AT9110150024,1.0
3184,Youth and Environment Europe,,33.1550342962146,3.0,,,,CZ68379684,1.0
3185,Związek Polskich Producentów Ryb,Trade and business associations,,,,,,PL388623789,2.0
3186,Flexible Packaging Europe,Trade and business associations,,,,,,NL27174395,1.0
3187,CDP Worldwide (Europe) gemeinnützige GmbH,"Non-governmental organisations, platforms and networks and similar",,37.0,CDP EUROPE AISBL,,,DE2012041901,3.0
3188,AstraZeneca PLC,Companies and groups,44849000.0,83500.0,ASTRAZENECA PLC,44849.0,83500.0,GB02723534,4.0
3189,Fiskesekretariatet,,,2.0,,,,SE8024147079,11.0
3190,Europäische Union der Rechtspfleger (EUR),Trade unions and professional associations,,,,,,,1.0
3191,Liberty Mutual Insurance Group,Companies and groups,1630.0,1.0,LIBERTY MUTUAL INSURANCE GROUP,2.0,1.0,CA259836080L,1.0
3192,Education in Inland Navigation,Academic institutions,,,,,,,1.0
3193,European Sustainable Development Network Association,Associations and networks of public authorities,,4.0,,,,LV000816997,2.0
3194,Polski Związek Hodowców i Producentów Bydła Mięsnego,Trade and business associations,991.625624924898,19.0,POLSKI ZWIAZEK HODOWCOW I PRODUCENTOW BYDLA MIESNEGO,1.0,19.0,PL011639653,1.0
3195,Institut national de recherche en informatique et en automatique,Think tanks and research institutions,62523.0,,INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,63.0,,FR180089047,1.0
3196,European Family Businesses,Trade and business associations,517.659202060699,2.0,EUROPEAN FAMILY BUSINESSES AEIE,1.0,2.0,ESV61952057,2.0
3197,Association of Passenger Rights Advocates,Trade and business associations,,,,,,BE0689667030,2.0
3198,H2GS AB,Companies and groups,0.0,21.0,KALLSKAER AB,0.0,,SE5592723000,13.0
3199,Comité Régional des pêches maritimes et des élevages marins de Bretagne,"Other organisations, public or mixed entities",,, ,,,FR829407972,1.0
3200,Polskie Stowarzyszenie Ochrony Roślin,,502.748887449503,3.0,POLSKIE STOWARZYSZENIE OCHRONY ROSLIN,1.0,3.0,PL011125090,1.0
3201,IVECO GROUP N.V.,Companies and groups,15313168.8529253,34840.0,IVECO GROUP NV,15313.0,34840.0,NL83102701,2.0
