Name,Type,TR Country,Category of registration,Level of interest,Fields of interest,Lobbying cost,Members FTE,Orbis Country,Country ISO,City,BvD ID,BvD sectors,NAICS,Last year,Revenue,Shareholders funds,Assets,Nb employees,corporate group size,Entity type,GUO Name,GUO Country ISO,GUO Type,GUO NAICS,GUO Revenue,GUO Assets,GUO Nb employees,Betweenness,Closeness,Degree,Strength
United Company RUSAL,Organization,,,,,,,United States of America,US,DOVER,US371425676L,,,2022,90,,,3,0,Single location,,,,,,,,1.67972376453842E-14,0.205652553081674,2,2
Fossil Free Politics,Organization,BELGIUM,"Non-governmental organisations, platforms and networks and similar",European,"Energy, Environment, Business and industry, Climate action, Institutional affairs",70146,1.5,,,,,,,,,,,,,,,,,,,,,0,0.200597191118518,1,1
Insurance Europe,Organization,BELGIUM,Trade and business associations,European,"Agriculture and rural development, Budget, Trade, Competition, Economy, finance and the euro, Employment and social affairs, Energy, Environment, Taxation, Justice and fundamental rights, External relations, Trans-European Networks, Public health, Transport, Banking and financial services, Borders and security, Business and industry, Climate action, Consumers, Digital economy and society, Fraud prevention, Institutional affairs, International co-operation and development, Research and innovation, Single market",6000000-6499999,35,Belgium,BE,BRUXELLES,BE0893193420,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2022,9612.10286062837,5536.17397781014,8813.39796603739,40,0,Single location,INSURANCE EUROPE,BE,Insurance company,"Business, Professional, Labor, Political, and Similar Organizations",10,9,40,1.32159721263917E-11,0.247456901167148,27,48
Continental AG,Organization,GERMANY,Companies and groups,"European, Global","Trade, Competition, Economy, finance and the euro, Employment and social affairs, Energy, Environment, Taxation, Trans-European Networks, Transport, Business and industry, Climate action, Communication, Consumers, Digital economy and society, Research and innovation, Single market",300000-399999,1.5,Germany,DE,VAHRENWALD-LIST,DE2190001578,"Chemicals, Petroleum, Rubber & Plastic",Rubber Product Manufacturing,2022,44228147.6798654,14649743.9712286,40452598.8113284,199038,536,GUO,CONTINENTAL AG,DE,Corporate,Rubber Product Manufacturing,44228,40453,199038,1.03800937778553E-12,0.217727195643572,6,6
European Cigar Manufacturers Association,Organization,BELGIUM,Trade and business associations,European,"Agriculture and rural development, Trade, Customs, Employment and social affairs, Environment, Taxation, External relations, Public health, Consumers, Fraud prevention, Institutional affairs, Single market",100000-199999,0.5,Belgium,BE,BRUXELLES,BE0478332041,Miscellaneous Manufacturing,Other Miscellaneous Manufacturing,2023,,,,1,0,Single location,,,,,,,,0,0.201261038440771,1,1
European Council on Foreign Relations,Organization,GERMANY,Think tanks and research institutions,"European, Global, National","Trade, Enlargement, Justice and fundamental rights, External relations, Public health, Climate action, Digital economy and society, European neighbourhood policy, Foreign affairs and security policy, International co-operation and development, Migration and asylum",10035131,0,United Kingdom,GB,LONDON,GBML3887641,"Public Administration, Education, Health Social Services",Individual and Family Services,2023,1138.60629320145,,,17,0,Independent co,,,,,,,,8.33519746060398E-12,0.236221277291684,14,16
BRAL Stadsbeweging voor Brussel,Organization,BELGIUM,"Non-governmental organisations, platforms and networks and similar","European, Regional/local","Environment, Public health, Transport, Climate action",472911,0,Belgium,BE,BRUSSEL,BE0413744986,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2021,,186.309352777004,425.041110785008,7,0,Single location,,,,,,,,2.01462278354534E-15,0.208936062490959,2,2
European Tourism Association AISBL,Organization,BELGIUM,Trade and business associations,European,"Budget, Trade, Competition, Culture, Economy, finance and the euro, Employment and social affairs, Energy, Environment, Taxation, Youth, Regional policy, External relations, Trans-European Networks, Transport, Borders and security, Business and industry, Climate action, Consumers, Digital economy and society, Education and training, Research and innovation, Single market",-10000,0.25,Belgium,BE,BRUSSEL,BE0525647552,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",,,,,,0,Single location,,,,,,,,1.83124576710853E-14,0.208577772161952,4,4
Afrika-Verein der deutschen Wirtschaft e.V.,Organization,GERMANY,Associations and networks of public authorities,Global,"Agriculture and rural development, Trade, Economy, finance and the euro, Energy, External relations, Business and industry, Climate action, International co-operation and development",-10000,0,Germany,DE,HAMBURG,DE2150175309,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2022,,,,24,2,GUO,AFRIKA-VEREIN DER DEUTSCHEN WIRTSCHAFT E.V.,DE,Corporate,"Business, Professional, Labor, Political, and Similar Organizations",,,24,1.41859647897848E-14,0.181215105702277,2,2
European Bottom Fishing Alliance,Organization,BELGIUM,Trade and business associations,European,"Trade, Competition, Employment and social affairs, Energy, Environment, Food safety, Business and industry, Climate action, Consumers, Education and training, Maritime affairs and fisheries, Research and innovation",-,0,,,,,,,,,,,,,,,,,,,,,4.78685561101987E-15,0.187526372163978,2,2
Self-Care in Europe,Organization,DENMARK,"Non-governmental organisations, platforms and networks and similar",European,"Employment and social affairs, Public health, Consumers, Education and training",0,1.25,Belgium,BE,BRUXELLES,BE0630919177,"Travel, Personal & Leisure",Special Food Services,2021,,51.8051380634308,250.199336121082,,2,Controlled subs.,MONSIEUR JACQUES KALIFA MORGAN,BE,One or more named individuals or families,,,,,2.24769602346509E-15,0.197251621713895,2,2
Federation of European Tank Storage Associations,Organization,BELGIUM,Trade and business associations,European,"Agriculture and rural development, Trade, Competition, Customs, Economy, finance and the euro, Energy, Environment, Taxation, Trans-European Networks, Public health, Food safety, Transport, Business and industry, Climate action, Consumers, Digital economy and society, Foreign affairs and security policy, Institutional affairs, Maritime affairs and fisheries, Research and innovation, Single market",200000-299999,1,Belgium,BE,BRUXELLES,BE0451687230,Business Services,"Other Professional, Scientific, and Technical Services",,,,,,0,Single location,,,,,,,,4.33180010774758E-14,0.183730581482247,2,2
Climate-KIC Holding BV,Organization,NETHERLANDS,"Other organisations, public or mixed entities",European,"Agriculture and rural development, Employment and social affairs, Energy, Environment, Youth, Regional policy, Business and industry, Climate action, Education and training, International co-operation and development, Research and innovation",300000-399999,4,Netherlands,NL,AMSTERDAM,NL63299658,Business Services,"Architectural, Engineering, and Related Services",2021,45243.9833496881,5564.80735586643,43724.8741264987,164,5,GUO,CLIMATE-KIC HOLDING B.V.,NL,Corporate,"Architectural, Engineering, and Related Services",45,44,164,1.43467302147474E-13,0.221241479666079,3,3
ProVeg CIC,Organization,UNITED KINGDOM,"Non-governmental organisations, platforms and networks and similar","European, Global, National","Agriculture and rural development, Environment, Public health, Food safety, Climate action, Communication, Consumers",450351,1,United Kingdom,GB,LONDON,GB12587942,"Travel, Personal & Leisure",Special Food Services,2022,1515.52431356299,690.603154175281,707.59006571579,14,0,Single location,,,,,,,,1.68770692509087E-15,0.194767980851889,2,2
Association Européenne pour la Formation Professionnelle / European Vocational Training Association,Organization,BELGIUM,"Non-governmental organisations, platforms and networks and similar","European, Global, National, Regional/local","Agriculture and rural development, Budget, Trade, Competition, Culture, Customs, Economy, finance and the euro, Enlargement, Employment and social affairs, Energy, Environment, Taxation, Youth, Justice and fundamental rights, Regional policy, External relations, Trans-European Networks, Public health, Food safety, Sport, Transport, Banking and financial services, Borders and security, Business and industry, Climate action, Communication, Consumers, Culture and media, Digital economy and society, Education and training, European neighbourhood policy, Foreign affairs and security policy, Fraud prevention, Institutional affairs, Humanitarian aid and civil protection, International co-operation and development, Maritime affairs and fisheries, Migration and asylum, Research and innovation, Single market",146743,5.5,Belgium,BE,BRUXELLES,BE0463618725,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2015,,-1062.71920157337,296.066504331231,2,0,Single location,,,,,,,,1.29907459332322E-15,0.194260448539054,2,2
Digital Data Centre Bidco SL,Organization,,,,,,,Spain,ES,MADRID,ESB88308986,Business Services,Management of Companies and Enterprises,2021,3447.37370525122,502090.305939789,775061.855611196,35,9,GUO,DIGITAL DATA CENTRE BIDCO SL.,ES,Corporate,Management of Companies and Enterprises,3,775,35,1.09183469119013E-14,0.227201226945613,4,4
Le Club des juristes,Organization,,,,,,,France,FR,PARIS,FR504789082,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations", ,,,,,0,Single location, , , , ,,,,1.67479025038814E-14,0.184723354595303,2,2
European Plant-based Foods Association,Organization,BELGIUM,Trade and business associations,European,"Agriculture and rural development, Environment, Taxation, Public health, Food safety, Consumers",100000-199999,1,Belgium,BE,BRUXELLES,BE0862348113,Business Services,Legal Services,,,,,,0,Single location,,,,,,,,2.48974166730499E-13,0.211023248169184,4,6
European Net Zero Alliance,Organization,BELGIUM,"Non-governmental organisations, platforms and networks and similar",European,"Energy, Environment",-10000,0,,,,,,,,,,,,,,,,,,,,,0,0.174436158328553,1,1
UPM-Kymmene Oyj,Organization,FINLAND,Companies and groups,Global,"Agriculture and rural development, Trade, Competition, Economy, finance and the euro, Energy, Environment, Taxation, Transport, Business and industry, Climate action, Research and innovation, Single market",200000-299999,2.25,Finland,FI,HELSINKI,FI10410900,"Wood, Furniture & Paper Manufacturing","Pulp, Paper, and Paperboard Mills",2022,12753330.0811052,13736734.8092794,23685974.8357534,17236,301,Controlled subs.,SKANDINAVISKA ENSKILDA BANKEN AB,SE,Bank,Depository Credit Intermediation,6194,338804,16283,1.93235201688412E-12,0.245704686569703,8,8
Lykke Advice,Organization,BELGIUM,Professional consultancies,European,"Agriculture and rural development, Budget, Trade, Competition, Energy, Environment, Youth, External relations, Public health, Food safety, Business and industry, Communication, Consumers, Digital economy and society, Maritime affairs and fisheries, Research and innovation, Single market",160000-399999,4,Belgium,BE,BRUXELLES,BE0651597302,Business Services,"Management, Scientific, and Technical Consulting Services",2022,,134.315806956887,271.270381047726,2,2,Controlled subs.,MADAME METTE LYKKE NIELSEN,BE,One or more named individuals or families,,,,,0,0.182307279669307,1,1
Istituto per la Competitività,Organization,ITALY,Think tanks and research institutions,"European, Global, National, Regional/local","Budget, Trade, Competition, Customs, Energy, Environment, Regional policy, Public health, Transport, Business and industry, Climate action, Consumers, Digital economy and society, European neighbourhood policy, Foreign affairs and security policy, Institutional affairs, International co-operation and development, Research and innovation, Single market",1642265,4.25,Italy,IT,ROMA,IT08678131007,Media & Broadcasting,"Web Search Portals, Libraries, Archives, and Other Information Services",2020,859.938918048143,181.541978754997,966.053557065725,7,2,GUO,ISTITUTO PER LA COMPETITIVITA',IT,Corporate,Other Information Services,1,1,7,9.62433961732062E-13,0.205758752092311,4,4
Fundacja Ocalenie,Organization,,,,,,,Poland,PL,WARSZAWA,PL016446315,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2021,2662.80790637434,1521.92119632661,1754.18720832467,,2,GUO,FUNDACJA OCALENIE,PL,"Foundation, research Institute","Business, Professional, Labor, Political, and Similar Organizations",3,2,,5.32237211993751E-15,0.192512745326714,2,2
"Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas",Organization,PORTUGAL,Trade unions and professional associations,"European, National","Employment and social affairs, Energy, Youth, Justice and fundamental rights, Public health, Business and industry, Climate action",300000-399999,4,,,,,,,,,,,,,,,,,,,,,0,0.168957449919579,1,1
Forest and Land Owners Association of Lithuania,Organization,LITHUANIA,"Non-governmental organisations, platforms and networks and similar",National,"Agriculture and rural development, Environment, Climate action, Communication, Education and training, Research and innovation",10000-24999,2.75,,,,,,,,,,,,,,,,,,,,,2.67992740335417E-14,0.209041898834937,4,4
Inline Policy Srl,Organization,UNITED KINGDOM,Professional consultancies,"European, Global, National, Regional/local","Trade, Competition, Culture, Customs, Employment and social affairs, Energy, Environment, Taxation, Justice and fundamental rights, Regional policy, Trans-European Networks, Public health, Sport, Transport, Business and industry, Climate action, Consumers, Culture and media, Digital economy and society, Foreign affairs and security policy, Fraud prevention, Institutional affairs, Research and innovation, Single market",435000-799999,1,Belgium,BE,BRUXELLES,BE0687711093,Business Services,"Advertising, Public Relations, and Related Services",2022,,-5.60284711182117,202.000077282786,5,3,Controlled subs.,MR SHOMIK PANDA,BE,One or more named individuals or families,,,,,0,0.180279272954209,1,1
Grupo AN,Organization,SPAIN,Companies and groups,National,"Agriculture and rural development, Economy, finance and the euro, Environment, Food safety, Climate action",50000-99999,1.5,Brazil,BR,CORUPA,BR14765219000196,Metals & Metal Products,Architectural and Structural Metals Manufacturing,2022,651.703029870987,,,3,2,Controlled subs.,MR ANTONIO ALVES ALEIXANDRE FILHO,BR,One or more named individuals or families,,,,,4.39494725393113E-15,0.178831213049803,2,2
RWE AG,Organization,GERMANY,Companies and groups,"European, Global, National, Regional/local","Agriculture and rural development, Budget, Trade, Competition, Economy, finance and the euro, Enlargement, Employment and social affairs, Energy, Environment, Taxation, Regional policy, External relations, Trans-European Networks, Transport, Banking and financial services, Business and industry, Climate action, Consumers, Digital economy and society, Institutional affairs, International co-operation and development, Research and innovation, Single market",1750000-1999999,4.25,Germany,DE,ESSEN,DE5110206610,Utilities,"Electric Power Generation, Transmission and Distribution",2022,41830965.3300047,31228966.4167166,147775225.89922,18310,897,GUO,RWE AKTIENGESELLSCHAFT,DE,Corporate,"Electric Power Generation, Transmission and Distribution",41831,147775,18310,6.86166877096789E-12,0.249951329252201,25,26
AbleDocs Scandinavia,Organization,CANADA,Companies and groups,Global,"Justice and fundamental rights, Communication",-,1.25,Denmark,DK,KOGE,DK43947419,Computer Software,Computer Systems Design and Related Services,,,,,,0,Single location,,,,,,,,0,0.169854032838936,1,1
UNIVERSIDAD REY JUAN CARLOS,Organization,SPAIN,Academic institutions,"European, National, Regional/local","Agriculture and rural development, Budget, Trade, Competition, Culture, Customs, Economy, finance and the euro, Enlargement, Employment and social affairs, Energy, Environment, Taxation, Youth, Justice and fundamental rights, Regional policy, External relations, Trans-European Networks, Public health, Food safety, Sport, Transport, Banking and financial services, Borders and security, Business and industry, Climate action, Communication, Consumers, Culture and media, Digital economy and society, Education and training, European neighbourhood policy, Foreign affairs and security policy, Fraud prevention, Institutional affairs, Humanitarian aid and civil protection, International co-operation and development, Maritime affairs and fisheries, Migration and asylum, Research and innovation, Single market",200000-299999,0.25,Spain,ES,MOSTOLES,ESQ2803011B,"Public Administration, Education, Health Social Services",Other Schools and Instruction,,,,,,0,Independent co,,,,,,,,,,,
TERNA ENERGY SOCIETE ANONYME,Organization,GREECE,Companies and groups,Global,"Trade, Energy, Environment, Trans-European Networks, Transport, Business and industry, Climate action, Maritime affairs and fisheries",200000-299999,4,,,,,,,,,,,,,,,,,,,,,0,0.212811020866714,1,1
Reporters sans frontières,Organization,FRANCE,"Non-governmental organisations, platforms and networks and similar",Global,"Enlargement, Justice and fundamental rights, Culture and media, Digital economy and society, European neighbourhood policy, Foreign affairs and security policy",8153856,2,Brazil,BR,,BR22403333000102,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2022,3833.54723453522,,,16,0,Single location,,,,,,,,1.22110817892544E-11,0.248323734204418,26,41
"A Place for Rover, Inc.",Organization,UNITED STATES,Companies and groups,Global,"Taxation, Digital economy and society",50000-99999,0.75,United States of America,US,SEATTLE,US296744159L,"Agriculture, Horticulture & Livestock",Support Activities for Animal Production,2022,21400,,,220,2,GUO,"A PLACE FOR ROVER, INC.",US,Corporate,Support Activities for Animal Production,21,,220,1.02535709800811E-13,0.195747924784008,2,2
Conselho Consultivo para as Regiões Ultraperiféricas,Organization,PORTUGAL,"Non-governmental organisations, platforms and networks and similar","European, Regional/local","Budget, Employment and social affairs, Environment, Regional policy, Consumers, Education and training, International co-operation and development, Maritime affairs and fisheries",304045,2,,,,,,,,,,,,,,,,,,,,,1.77130710384332E-13,0.187709152344131,5,5
Henkel AG & Co. KGaA,Organization,GERMANY,Companies and groups,Global,"Trade, Competition, Customs, Economy, finance and the euro, Environment, Taxation, External relations, Public health, Food safety, Transport, Business and industry, Climate action, Communication, Consumers, Digital economy and society, Foreign affairs and security policy, Research and innovation, Single market",800000-899999,2,Germany,DE,DSSSELDORF,DE5050001329,"Chemicals, Petroleum, Rubber & Plastic","Soap, Cleaning Compound, and Toilet Preparation Manufacturing",2022,24115814.4295216,21499445.8848238,35387637.8214359,51200,420,Controlled subs.,HENKEL FAMILY,DE,One or more named individuals or families,,,,,7.72646487666941E-13,0.240034068011384,4,5
Strategic Advisory Management,Organization,BELGIUM,Self-employed individuals,"European, Global, National","Budget, Trade, Culture, Economy, finance and the euro, Energy, Environment, Taxation, Justice and fundamental rights, External relations, Banking and financial services, Business and industry, Climate action, Communication, Consumers, Culture and media, Digital economy and society, Education and training, Fraud prevention, Institutional affairs, Single market",-,0.75,United Kingdom,GB,BELVEDERE,GB12249111,Business Services,Business Support Services,2022,,16.2124925208092,16.9335861605406,1,7,Controlled subs.,MR ANTHONY HAZELL,GB,One or more named individuals or families,,,,,0,0.189082161967567,1,1
Bundesverband Naturkost Naturwaren e.V.,Organization,GERMANY,Trade and business associations,"European, National","Agriculture and rural development, Environment, Food safety, Climate action",25000-49999,0.75,Germany,DE,BERLIN,DE2011869601,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",2022,,,,16,2,GUO,BUNDESVERBAND NATURKOST NATURWAREN E.V.,DE,Corporate,"Business, Professional, Labor, Political, and Similar Organizations",,,16,0,0.180795468769558,1,1
EuroNatur - Stiftung Europäisches Naturerbe,Organization,GERMANY,"Non-governmental organisations, platforms and networks and similar",European,"Agriculture and rural development, Culture, Enlargement, Energy, Environment, Regional policy, Trans-European Networks, Climate action, Education and training",6041000,3,Germany,DE,RADOLFZELL AM BODENSEE,DELEI556157,,,,,,,,2,GUO,EURONATUR - STIFTUNG EUROPÄISCHES NATURERBE,DE,"Foundation, research Institute",,,,,4.96970272415843E-13,0.221411052349199,6,6
Norsk Hydro,Organization,NORWAY,Companies and groups,"European, Global, National","Trade, Competition, Customs, Economy, finance and the euro, Energy, Environment, Taxation, Transport, Business and industry, Climate action, Institutional affairs, Research and innovation, Single market",500000-599999,4,Norway,NO,OSLO,NO914778271,Metals & Metal Products,Architectural and Structural Metals Manufacturing,2022,21443002.5971532,10932860.3305519,20143813.9217198,32014,307,GUO,NORSK HYDRO ASA,NO,Corporate,Architectural and Structural Metals Manufacturing,21443,20144,32014,2.0915317083917E-12,0.25299411030587,8,8
FOMENT DEL TREBALL NACIONAL,Organization,SPAIN,Trade and business associations,"European, Global, National, Regional/local","Agriculture and rural development, Budget, Trade, Competition, Culture, Economy, finance and the euro, Employment and social affairs, Energy, Environment, Taxation, Regional policy, External relations, Trans-European Networks, Public health, Food safety, Sport, Transport, Banking and financial services, Business and industry, Climate action, Consumers, Culture and media, Digital economy and society, Education and training, Fraud prevention, Maritime affairs and fisheries, Research and innovation, Single market",50000-99999,1.5,,,,,,,,,,,,,,,,,,,,,2.13640664940896E-13,0.188324070603191,4,5
Cultivate Partners,Organization,,,,,,,Belgium,BE,TERVUREN,BE0645736126,Business Services,"Management, Scientific, and Technical Consulting Services",2022,,21.264793997407,23.4598557442427,,0,Independent co,,,,,,,,0,0.17372021348568,1,1
GeoPost SA,Organization,FRANCE,Companies and groups,"European, Global, National","Trade, Competition, Customs, Employment and social affairs, Energy, Environment, Taxation, Justice and fundamental rights, External relations, Trans-European Networks, Transport, Climate action, Consumers, Research and innovation, Single market",300000-399999,1.75,Switzerland,CH,BUCHS ZH,CHCHE102294149,"Transport, Freight & Storage",Postal Service,2023,,,,160,5441,Controlled subs.,GOVERNMENT OF FRANCE,FR,"Public authority, state, government",,,,,2.21206649436392E-14,0.208837881800108,2,2
Achema,Organization,LITHUANIA,Companies and groups,"European, National, Regional/local","Agriculture and rural development, Trade, Competition, Customs, Energy, Environment, Taxation, Food safety, Business and industry, Climate action, Research and innovation, Single market",25000-49999,0.5,Lithuania,LT,JONALAUKIO K.,LT156667399,"Chemicals, Petroleum, Rubber & Plastic","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2022,1010780.07063985,292509.576657414,457073.078501821,1210,36,Controlled subs.,UAB KONCERNAS ACHEMOS GRUPE,LT,Corporate,"Management, Scientific, and Technical Consulting Services",2270,1132,,1.32305052898426E-14,0.177711816182464,2,2
HSBC Holdings PLC,Organization,UNITED KINGDOM,Companies and groups,"European, Global, National, Regional/local","Trade, Competition, Economy, finance and the euro, Employment and social affairs, Energy, Taxation, Trans-European Networks, Banking and financial services, Business and industry, Climate action, Consumers, Digital economy and society, Single market",1250000-1499999,3,United Kingdom,GB,LONDON,GB00617987,Business Services,Management of Companies and Enterprises,2022,56828000,196028000,2966530000,219000,1553,GUO,HSBC HOLDINGS PLC,GB,Bank,Management of Companies and Enterprises,76566,2966530,219000,1.00828537221536E-12,0.217842128084761,9,10
Fundación Cepaim Acción Integral con Migrantes.,Organization,SPAIN,"Non-governmental organisations, platforms and networks and similar","European, Global, National, Regional/local","Agriculture and rural development, Budget, Culture, Employment and social affairs, Energy, Environment, Taxation, Youth, Justice and fundamental rights, Regional policy, Trans-European Networks, Public health, Sport, Borders and security, Business and industry, Climate action, Consumers, Digital economy and society, Education and training, European neighbourhood policy, Foreign affairs and security policy, Institutional affairs, Humanitarian aid and civil protection, International co-operation and development, Migration and asylum, Research and innovation",44879901,2,Spain,ES,MURCIA,ESG73600553,"Public Administration, Education, Health Social Services",Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,,,,,,0,Single location,,,,,,,,1.16380649117623E-15,0.188023757220731,2,2
Responsible Business Alliance,Organization,UNITED STATES,Trade and business associations,Global,"Employment and social affairs, Justice and fundamental rights, Digital economy and society, International co-operation and development",50000-99999,0.5,United States of America,US,ALEXANDRIA,US326928725L,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",,,,,,2,Controlled subs.,RESPONSIBLE BUSINESS ALLIANCE FOUNDATION,US,"Foundation, research Institute","Business, Professional, Labor, Political, and Similar Organizations",2,,25,4.00253114304877E-13,0.208307043319933,5,6
Openclassrooms,Organization,,,,,,,France,FR,PARIS 04,FR493861363,"Public Administration, Education, Health Social Services",Other Schools and Instruction,2019,23464.0348396192,32566.6371660417,44087.7609781147,164,3,GUO,OPENCLASSROOMS,FR,Corporate,Other Schools and Instruction,23,44,164,1.02883390321426E-13,0.193879091931073,2,3
Bpifrance,Organization,FRANCE,"Other organisations, public or mixed entities","European, Global, National, Regional/local","Budget, Trade, Competition, Economy, finance and the euro, Energy, Environment, Regional policy, Banking and financial services, Business and industry, Climate action, Digital economy and society, European neighbourhood policy, Fraud prevention, Research and innovation, Single market",600000-699999,3.25,France,FR,MAISONS ALFORT,FR320252489,"Banking, Insurance & Financial Services",Nondepository Credit Intermediation,2022,2801530.21585941,29334365.7457232,108376320.722342,3521,5441,Controlled subs.,GOVERNMENT OF FRANCE,FR,"Public authority, state, government",,,,,5.21842263618364E-12,0.226275799945169,14,16
Sustainable Business Association of Lithuania,Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64032709755664E-14,0.186064861035071,2,2
European FinTech Association,Organization,BELGIUM,Trade and business associations,European,"Competition, Economy, finance and the euro, Banking and financial services, Consumers, Digital economy and society, Fraud prevention, Single market",100000-199999,1,Belgium,BE,BRUXELLES,BE0741453152,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",,,,,,0,Single location,,,,,,,,1.66898814139072E-12,0.219476523324723,9,10
Eumicon AISBL,Organization,BELGIUM,Trade and business associations,European,"Trade, Competition, Customs, Employment and social affairs, Energy, Environment, External relations, Trans-European Networks, Transport, Business and industry, Climate action, Digital economy and society, Education and training, Research and innovation, Single market",300000-399999,1.5,Austria,AT,WIEN,AT9111060665,Business Services,Business Support Services,2021,,129.663209175396,175.30188221283,,0,Independent co,,,,,,,,1.51971031480699E-13,0.203734395937654,3,3
Association Française de Normalisation,Organization,FRANCE,"Non-governmental organisations, platforms and networks and similar","European, Global, National","Agriculture and rural development, Trade, Competition, Economy, finance and the euro, Employment and social affairs, Energy, Environment, Regional policy, External relations, Trans-European Networks, Public health, Food safety, Sport, Transport, Banking and financial services, Business and industry, Climate action, Consumers, Digital economy and society, Education and training, European neighbourhood policy, Foreign affairs and security policy, Institutional affairs, International co-operation and development, Maritime affairs and fisheries, Research and innovation, Single market",50000-99999,1,France,FR,ST DENIS,FR775724818,"Public Administration, Education, Health Social Services",Administration of Economic Programs,2022,89959.9190559101,112544.41446694,166693.326100142,445,15,Controlled subs.,ADHERENTS,,"Employees, managers, directors",,,,,6.97164019268035E-13,0.217036063110443,7,7
Stichting World Benchmarking Alliance Foundation,Organization,NETHERLANDS,"Non-governmental organisations, platforms and networks and similar",Global,"Agriculture and rural development, Trade, Competition, Economy, finance and the euro, Employment and social affairs, Energy, Environment, Taxation, Youth, Justice and fundamental rights, Regional policy, External relations, Trans-European Networks, Public health, Food safety, Transport, Banking and financial services, Business and industry, Climate action, Communication, Consumers, Digital economy and society, Education and training, European neighbourhood policy, Foreign affairs and security policy, Fraud prevention, Institutional affairs, Humanitarian aid and civil protection, International co-operation and development, Maritime affairs and fisheries, Migration and asylum, Research and innovation, Single market",50000-99999,1.5,Netherlands,NL,AMSTERDAM,NL53744993,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",,,,,,0,Single location,,,,,,,,5.40190349895184E-13,0.214040937297397,5,6
DEKRA e.V.,Organization,GERMANY,Companies and groups,"European, Global, National, Regional/local","Trade, Competition, Employment and social affairs, Energy, Environment, Public health, Transport, Business and industry, Consumers, Digital economy and society, Education and training, Research and innovation, Single market",700000-799999,10,Germany,DE,STUTTGART,DE7330002636,"Travel, Personal & Leisure",Other Personal Services,2023,,,,20,239,GUO,DEKRA E.V.,DE,Corporate,Other Personal Services,,,20,3.09500477521526E-14,0.18031584532318,2,3
EUROTRAN Conseil,Organization,FRANCE,Professional consultancies,"European, National, Regional/local","Trade, Competition, Customs, Energy, Environment, Taxation, Regional policy, Trans-European Networks, Transport, Borders and security, Climate action, Consumers, Culture and media, Digital economy and society, Institutional affairs, International co-operation and development, Maritime affairs and fisheries, Migration and asylum, Research and innovation, Single market",365000-799999,2.5,France,FR,STRASBOURG,FR529984502,Business Services,"Management, Scientific, and Technical Consulting Services",2022,,437.13940066576,628.523613241911,,2,Controlled subs.,MR DAN WOLFF,FR,One or more named individuals or families,,,,,0,0.168410773625605,1,1
European Potato Processors' Association,Organization,BELGIUM,Trade and business associations,European,"Agriculture and rural development, Trade, Energy, Environment, Taxation, Food safety, Climate action, Communication, Consumers, Single market",-10000,0.25,Belgium,BE,BRUXELLES,BE0834842574,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",,,,,,0,Single location,,,,,,,,0,0.184968785016808,1,1
Intact Solutions LLC,Organization,,,,,,,United States of America,US,BEAUMONT,US333997124L,"Transport, Freight & Storage",Freight Transportation Arrangement,2022,440,,,2,0,Single location,,,,,,,,0,0.180985198527684,1,1
Coalition for Epidemic Preparedness Innovations,Organization,NORWAY,"Non-governmental organisations, platforms and networks and similar",Global,"Public health, International co-operation and development, Research and innovation",303799136,1,Norway,NO,OSLO,NO917687811,"Public Administration, Education, Health Social Services",Individual and Family Services,2022,597446,169854,994659,76,0,Independent co,,,,,,,,7.00984586124906E-13,0.203917762287126,6,12
Green Finance Observatory,Organization,BELGIUM,Think tanks and research institutions,"European, Global","Energy, Environment, Banking and financial services, Climate action",77000,0.5,Belgium,BE,BRUXELLES,BE0685556804,"Public Administration, Education, Health Social Services","Business, Professional, Labor, Political, and Similar Organizations",,,,,,0,Single location,,,,,,,,0,0.196962465482562,1,1
